created_at;id;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;geo;lang;user_id_str;conversation_id;conversation_id_str;media_url_https;media_type;username
Fri Oct 07 12:41:45 +0000 2022;1578364957166833700;1578364957166833664;"“Lebih dari seratus orang dibunuh oleh polisi. Kenanglah para pahlawan dari Kanjuruhan itu!” Dukungan suporter Bayern Munchen untuk para korban Tragedi Kanjuruhan.\n\n https://t.co/gLOoytJln7 lewat @islamidotco";0;1;3;7;;in;569265633;1578364957166833700;1578364957166833664;"";"";islamidotco
Fri Oct 07 18:26:56 +0000 2022;1578451828714672000;1578451828714672128;"Kalo harus cepet, klub bisa manuver minta pertanggungjawaban PSSI, kalo ngeles ya bawa ke KLB. Kalo polisi bisa seret PSSI atau pengurusnya untuk tanggungjawab tragedi kanjuruhan, bisa jadi penguat utk klub minta PSSI bertanggungjawab..\n\nsuporter tuntuk klub minta tggjwb PSSI";0;1;0;0;;in;1572482866097041408;1578451795609026600;1578451795609026560;"";"";_kang_bakso_
Fri Oct 07 16:19:46 +0000 2022;1578419822735392800;1578419822735392771;"FIFA tidak berikan SANKSI kepada SEPAKBOLA INDONESIA atas TRAGEDI di Stadion KANJURUHAN Malang dengan korban sedikitnya 127 tewas.\nMUNGKIN sebab:\n1&gt;Yang bersalah POLISI, bukan SUPORTER &amp; PANPEL\n2&gt;Kerusuhan terjadi SESUDAH pertandingan, dan bukan berupa PERKELAHIAN antar suporter.";0;0;0;1;;in;1203075185420599296;1578419822735392800;1578419822735392771;"";"";Budi_2232
Fri Oct 07 07:41:49 +0000 2022;1578289477046239200;1578289477046239232;"Kisah Iwan, Aremania yang Meninggal saat Mencoba Bukakan Pintu Gerbang Stadion untuk Suporter yang Terjebak\n#Aremania #Kanjuruhan #Arema #AremaFC #Polisi\n\nSelengkapnya: https://t.co/m8paRCqbnw via @YouTube";0;0;1;1;;in;58880688;1578289477046239200;1578289477046239232;"";"";pikiran_rakyat
Fri Oct 07 07:30:05 +0000 2022;1578286526035021800;1578286526035021824;"Polisi menembakkan gas air mata saat menghalau suporter Arema Malang, Aremania, yang menyerbu lapangan di Stadion Kanjuruhan, Malang, Jawa Timur. Berondong gas air mata tak hanya diarahkan kepada suporter di lapangan, tetapi juga ke tribun\n\n#MedcomID \n\nhttps://t.co/l4oUKIZMKS https://t.co/xmJ1inabCK";0;0;0;0;;in;902837643024539651;1578286526035021800;1578286526035021824;"https://pbs.twimg.com/media/FeczNlpaMAA_otM.jpg";"photo";medcom_id
Fri Oct 07 08:48:46 +0000 2022;1578306328069435400;1578306328069435392;"Tragedi Kanjuruhan Terulang di Argentina, Suporter Sepakbola Meninggal Dunia setelah Polisi Tembakkan Gas Air Mata https://t.co/vQluvPtR4T";0;0;0;0;;in;1417808011024683011;1578306328069435400;1578306328069435392;"";"";buddykuofficial
Fri Oct 07 23:46:36 +0000 2022;1578532273858936800;1578532273858936833;"Polisi Kantongi Identitas Suporter Perusak Mobil Aparat di Kanjuruhan https://t.co/6Iusm1m2Lj";4;16;4;6;;in;41730943;1578532273858936800;1578532273858936833;"";"";VIVAcoid
Fri Oct 07 16:45:00 +0000 2022;1578426174107156500;1578426174107156488;"Kapolri Jenderal Polisi Listyo Sigit Prabowo menyebut ada 11 kali tembakan gas air mata yang dilepaskan aparat keamanan saat terjadi kerusuhan suporter di Stadion Kanjuruhan, Kabupaten Malang, Jawa Timur, pada 1 Oktober 2022.\n\n#MedcomID #MedcomNews \n\nhttps://t.co/v1oncE3xYc https://t.co/94wne9rKSA";0;0;0;1;;in;902837643024539651;1578426174107156500;1578426174107156488;"https://pbs.twimg.com/media/FecLU7mUoAALSSx.jpg";"photo";medcom_id
Fri Oct 07 13:16:43 +0000 2022;1578373757424787500;1578373757424787458;"Suporter Bayern Muchen mengenang KANJURUHAN \nLEBIH DARI 100 ORG DIBUNUH POLISI !!!\nkang cilok bisa lewat nih di stadion sono 🤭\n\n#UsutTuntasTragediKanjuruhan https://t.co/j7qGZIXAuH";1;2;13;40;;in;1417079987614588931;1578373757424787500;1578373757424787458;"https://pbs.twimg.com/media/FeeCikmacAEyXWP.jpg";"photo";itsamareguzel
Fri Oct 07 15:13:45 +0000 2022;1578403210175209500;1578403210175209472;"Saya telah menerima surat dari FIFA menyusul pembicaraan melalui telepon saya dengan Presiden FIFA, Gianni Infantino, beberapa waktu lalu. \n\nBagaimana keputusan FIFA atas tragedi sepak bola di Stadion Kanjuruhan, 1 Oktober lalu? \n\nhttps://t.co/tsKciY53ZZ";498;1012;1619;8478;;in;366987179;1578403210175209500;1578403210175209472;"";"";jokowi
Fri Oct 07 11:29:24 +0000 2022;1578346752025165800;1578346752025165829;"Ratusan suporter sepakbola di Purbalingga menggelar kegiatan doa bersama bagi para korban meninggal di Stadion Kanjuruhan, Malang. Kegiatan doa bersama dilakukan bersama dengan polisi dari Polres Purbalingga, Kamis (6/20/2022) malam.\nhttps://t.co/nKKDvdb571";0;0;0;0;;in;1262917448010850304;1578346752025165800;1578346752025165829;"";"";Humas_ResPBG
Fri Oct 07 18:13:34 +0000 2022;1578448462500466700;1578448462500466689;"Saksi Tragedi Kanjuruhan: Suporter Pingsan Ditolak Masuk Mobil Polisi.\n\nBerita — Menurut kesaksian Indri (Aremania), yang pada saat itu berada di tribun VIP, permasalahan utama dari tragedi Kanjuruhan adalah aparat kepolisian terutama satuan brigade mobil (brimob). https://t.co/eO8p6cCh6R";0;1;0;0;;in;326184775;1578448462500466700;1578448462500466689;"https://pbs.twimg.com/media/FefGguuUUAIOOk2.jpg";"photo";LpmHayamwuruk
Fri Oct 07 14:37:46 +0000 2022;1578394156501565400;1578394156501565440;"Suporter-Polisi Grobogan Gelar Doa Bersama untuk Korban Tragedi Kanjuruhan\n\nSelengkapnya Klik Tautan Berikut ini\n#Grobogan #Polisi #Suporter #Doabersama #Tragedikanjuruhan\n https://t.co/d3UbCu3NNa";0;0;0;0;;in;984612852;1578394156501565400;1578394156501565440;"";"";murianewscom
Fri Oct 07 11:08:22 +0000 2022;1578341456485355500;1578341456485355520;"musibah itu kejadian tak disengaja. kanjuruhan itu disengaja, polisi tembaki suporter pake gas air mata";0;0;0;0;;in;1733571686;1578341456485355500;1578341456485355520;"";"";ancak666
Fri Oct 07 15:54:26 +0000 2022;1578413448228409300;1578413448228409344;"•Narasi Gagasan \nPeristiwa kanjuruhan Malang yang terjadi pada tanggal 1 Oktober 2022 disebabkan karena adanya kericuhan antara supporter aremania dengan polisi.  Akibatnya pihak berwenang menembakkan gas air mata serta menutup pintu keluar stadion kanjuruhan bagaikan sangkar-";0;1;0;0;;in;1205925058612301825;1578413281764868000;1578413281764868099;"";"";IMutiarahman
Fri Oct 07 09:58:48 +0000 2022;1578323953109516300;1578323953109516288;"@korantempo baru saja semalam di  argentina ada kejadian hampir sama situasinya seperti di kanjuruhan, tidak ada suporter lawan, gara2 suporter yg diluar maksa masuk. lalu  polisi sana menembakan gas air mata.";0;0;0;0;;in;25630974;1577933861333663700;1577933861333663744;"";"";bxyxhxn
Fri Oct 07 13:03:26 +0000 2022;1578370417672147000;1578370417672146945;"Ketua Panpel Arema FC curiga ada yang aneh dalam kandungan gas air mata yang dipakai polisi untuk menembaki suporter di Tragedi Kanjuruhan https://t.co/P0KoNCVfPz";0;0;0;0;;in;1438678136049205248;1578370417672147000;1578370417672146945;"";"";TribunMataraman
Fri Oct 07 13:35:11 +0000 2022;1578378407863144400;1578378407863144448;"@BBCIndonesia Ini Peristiwa Kanjuruhan bener² Gila..bingung mau komen apa..masa Suporter nonton Bola ditembaki Gas Airmata..Somplak bener OTAKNYA POLISI!!";0;0;1;8;;in;1314520535661834241;1578008735204708400;1578008735204708353;"";"";VenyLia3
Fri Oct 07 18:34:01 +0000 2022;1578453610102300700;1578453610102300672;"Lagi-lagi propaganda. Di gambar ketiga, seolah-olah polisi jadi sahabat suporter, penengah, dan juru damai. Padahal, faktanya justru sebaliknya. Dalam Tragedi Kanjuruhan, kalian lah yang menjadikan mereka musuh utama!";0;0;0;1;;in;305738225;1578453610102300700;1578453610102300672;"";"";davosic
Fri Oct 07 08:49:07 +0000 2022;1578306413780406300;1578306413780406272;"Argentina Terjadi Seperti Tragedi di Kanjuruhan, Suporter Sepakbola Meninggal Dunia setelah Polisi Tembakkan Gas Air Mata https://t.co/UjFki0m5Ie";0;0;0;0;;in;724007268950265856;1578306413780406300;1578306413780406272;"";"";InfoSatu_
Fri Oct 07 09:38:16 +0000 2022;1578318783361343500;1578318783361343489;"Luka Tragedi Kanjuruhan belum kering dan kini sepak bola kembali dikejutkan dengan bentrokan antara suporter dan polisi di luar stadion. Tepatnya, pertandingan Liga Argentina antara Gimnasia La Plata vs Boca Juniors. https://t.co/VKNFcMOI0J";0;0;1;3;;in;888041454;1578318783361343500;1578318783361343489;"https://pbs.twimg.com/ext_tw_video_thumb/1578318591585177603/pu/img/69mtdx6npuk6vR0W.jpg";"photo";indosportdotcom
